Тема,Ключ проблемы,Идентификатор проблемы,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Описание проекта,URL проекта,Приоритет,Решение,Исполнитель,Автор,Создатель,Cоздано,Обновленo,Последний просмотр,Дата решения,Срок исполнения,Голоса,Описание,Окружение,Наблюдатели,Первоначальная оценка,Оставшееся время,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарное оставшееся время,Суммарное затраченое время,Уровень безопасности,Вложение,Пользовательское поле (Epic Color),Пользовательское поле (Epic Link),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Original story points),Пользовательское поле (Parent Link),Пользовательское поле (Rank),Спринт,Пользовательское поле (Story Points),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team)
"Ошибка в расчетах в окне ""B"" в поле: ""сумма заказа"" после ввода активного промокода",ASN-12,10221,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 9:06 PM,25/апр/21 6:29 AM,24/апр/21 4:24 AM,,,0,"Данные в поле: ""сумма заказа"" не соответствуют расчетным данным со скидкой по  активному промокоду ""5555"" в окне ""B""
 # Кликнуть один раз левой кнопкой мыши по выпадающему меню в правой части кнопки кнопки ""купить на розлив"" в столбце кнопок под полем: ""NUKA KOLA""
 # при помощи курсора и левой кнопки мыши тянуть ползунок skroll bar'а вправо до тех пор пока значение над ним не будет соответствовать ""3л""
 # левой копкой мыши кликнуть один раз по кнопке со значением кнопке: ""готово""
 # Кликнуть один раз левой кнопкой мыши по кнопке ""перейти к оплате""
 # в окне ""B"" в поле:""Промокод"" ввести активный промокод ""5555""
 # кликнуть по кнопке: ""Пересчитать""
 # Фактический результат:  в поле: ""Сумма заказа"" значение 242р
 # Ожидаемый результат: в поле: ""Сумма заказа"" значение 206р +-1

 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:zw",Автомат с напитками,,,,
"Данные в поле: ""сумма заказа"" не соответствуют расчетным данным со скидкой по промокоду ",ASN-11,10219,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:44 PM,25/апр/21 6:29 AM,24/апр/21 4:23 AM,,,0,"Данные в поле: ""сумма заказа"" не соответствуют расчетным данным со скидкой по  активному промокоду ""5555"" в окне ""B""
 # в первом окне сформировать заказ, кликнув по кнопке: ""0,5 70р"" в столбце кнопок с заголовком: ""NUKA COLA""
 # кликнуть по кнопке ""перейти к оплате""
 # в окне ""B"" в поле:""Промокод"" ввести активный промокод ""5555""
 # кликнуть по кнопке: ""Пересчитать""
 # Фактический результат: в поле: ""Сумма заказа"" значение 70р
 # Ожидаемый результат: в поле: ""Сумма заказа"" значение 60р +-1

 

 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:zr",Автомат с напитками,,,,
Ошибка в расчетах при составлении отчета о покупке в третьем окне,ASN-10,10218,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:25 PM,25/апр/21 6:29 AM,24/апр/21 4:23 AM,,,0,"В третьем окне ошибка в расчетах при составлении отчета о покупке в полях:

""Итого"" ""Итого со скидкой"" ""ваша сдача""
 # Сформировать заказ на  покупку напитка ""NUKA COLA"" объемом 3л
 # Кликнуть по кнопке ""перейти к оплате""
 # во втором экране;
 # кликнуть два раза на кнопку со значением""100"" и один раз на кнопку со значением ""50""
 # кликнуть по кнопке: ""оплатить""       
 # Фактический результат: Открылось третье окно с полем отчета об оплате.
В строчках расчетов оплаты следующие значения:
-""Итого:"" 242 Р
-""итого со скидкой:"" 230 Р
-""Вы внесли:"" 500 р
в строке ""ваша сдача"" значение равно произведению номинала монет и их количества, или сумме произведений номинала монет и их количества НО НЕ РАВНО ОЖИДАЕМОЙ разности значений полей ""вы внесли"" и ""Итого""
 # Ожидаемый результат: Открылось третье окно с полем отчета об оплате.
В строчках расчетов оплаты следующие значения:
-""Итого:"" 255 Р
-""итого со скидкой:"" 242 Р
-""Вы внесли:"" 500 р
в строке ""ваша сдача"" значение равно произведению номинала монет и их количества, или сумме произведений номинала монет и их количества и так же равно разности значений полей ""вы внесли"" и ""Итого""",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:zi",Автомат с напитками,,,,
"ошибка при оплате минимального, по сумме заказа купюрами 5000р",ASN-9,10217,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 12:30 PM,25/апр/21 6:29 AM,24/апр/21 4:22 AM,,,0,"На втором экране приложения VendorMachine.exe ошибка при попытке оплатить минимальный заказ  ""COFFEE"" 0,2л 50р 

1. сформировать заказ из одного напитка  ""COFFEE"" 0,2л 50р

2.кликнуть на кнопку ""перейти к оплате""

3. В окне оплаты заказа кликнуть один раз по кнопке со значением ""5000""

Фактический результат:

В поле ""уже внесли"" отобразилось значение 0р,
Сообщение под полем ""уже внесли"": ""можно оплатить!""
кнопки со значениями номинала купюр не активны.

Ожидаемый результат:

В поле ""уже внесли"" отобразилось значение 5000р,
Сообщение под полем ""уже внесли"": ""можно оплатить!""
кнопки со значениями номинала купюр не активны.",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:z",Автомат с напитками,,,,
Ошибка при создании очереди из недопустимого количества заказов ,ASN-8,10216,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 11:58 AM,25/апр/21 6:29 AM,24/апр/21 4:23 AM,,,0,"В первом окне приложения Vendormachine.exe 

на этапе создания недопустимого количества заказов в очереди 
 # Левой кнопкой мышки кликнуть по кнопке : ""0,5 90р"" в столбце кнопок с заголовком ""SLURM"" шесть раз подряд. 
 # Ожидаемый результат: В окне заказа напитков отображены пять ячеек с информацией заказа:
slurm; 0,5л; 90р;
В поле ""сумма заказа"" значение:450р
 # Фактический результат: В окне заказа напитков отображены пять ячеек с информацией заказа:
slurm; 0,5л; 90р;
В поле ""сумма заказа"" значение:540р",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:y",Автомат с напитками,,,,
"Ошибка расчета суммы заказа при выборе напитка ""NUKA COLA"" 0,2л",ASN-7,10211,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 9:59 AM,25/апр/21 6:29 AM,24/апр/21 4:22 AM,,,0,"Ошибка расчета цены при выборе напитка ""NUKA COLA"" 0,2л

1. в открытом приложении VendorMachine.exe на первом экране ""А"" кликнуть правой кнопкой мыши по кнопке:""0,2л 50р"" в столбце кнопок с заголовком ""NUKA COLA""
Фактический результат: в полях: ""цена"" и ""сумма заказа""
значение 70р.
Ожидаемый результат: в полях: ""цена"" и ""сумма заказа""
значение 50р.",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:w",Автомат с напитками,,,,
ошибка расчетов суммы заказа со скидкой,ASN-6,10210,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Lowest,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:28 AM,25/апр/21 6:29 AM,24/апр/21 4:21 AM,,,0,"На первой странице приложения VendingMachine после выбора объема напитка в заказ

фактические значения расчетов скидки не соответствуют ожидаемым

1.Кликнуть один раз левой кнопкой мыши по иконке, drop list, справа от имени поля""купить на розлив"" в столбце с заголовком ""Nuka Kola""

2.scroll bar установить в положение, соответствующее значению 9,9л

Фактический результат: в поле ""цена о скидкой"" показано значение 842р

Ожидаемый результат: в поле ""цена о скидкой"" показано значение 757р +-1

 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:r",Автомат с напитками,,,,
ошибка расчетов суммы заказа со скидкой,ASN-5,10209,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Lowest,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:24 AM,25/апр/21 6:29 AM,24/апр/21 4:21 AM,,,0,"На первой странице приложения VendingMachine после выбора объема напитка в заказ

фактические значения расчетов скидки не соответствуют ожидаемым

1.Кликнуть один раз левой кнопкой мыши по иконке, drop list, справа от имени поля""купить на розлив"" в столбце с заголовком ""Nuka Kola""

2.scroll bar установить в положение, соответствующее значению 7л

Фактический результат: в поле ""цена о скидкой"" показано значение 595р

Ожидаемый результат: в поле ""цена о скидкой"" показано значение 536р +-1",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:i",Автомат с напитками,,,,
ошибка расчетов суммы заказа со скидкой,ASN-4,10208,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:07 AM,25/апр/21 6:28 AM,24/апр/21 4:20 AM,,,0,"На первой странице приложения VendorMachine после выбора объема напитка в заказ

фактические значения расчетов скидки не соответствуют ожидаемым

1.Кликнуть один раз левой кнопкой мыши по иконке, drop list, справа от имени поля""купить на розлив"" в столбце с заголовком ""Nuka Kola""

2.scroll bar установить в положение, соответствующее значению 5,1л

Фактический результат: в поле ""цена о скидкой"" показано значение 433р

Ожидаемый результат: в поле ""цена о скидкой"" показано значение 390р +-1

Эта же ошибка происходит при заказе напитков ""Slurm"" и ""Nuka kola"" объемами:

5,1л 7л 9,9л 10л",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004m:",Автомат с напитками,,,,
ошибка расчетов суммы заказа со скидкой,ASN-3,10207,Ошибка,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 6:01 AM,25/апр/21 6:28 AM,24/апр/21 4:21 AM,,,0,"На первой странице приложения VendingMachine после выбора объема напитка в заказ

фактические значения расчетов скидки не соответствуют ожидаемым

1.Кликнуть один раз левой кнопкой мыши по иконке, drop list, справа от имени поля: ""купить на розлив"" в столбце с заголовком ""Nuka Kola""

2.scroll bar установить в положение, соответствующее значению 5л

Фактический результат: в поле ""цена о скидкой"" показано значение 403р

Ожидаемый результат: в поле ""цена о скидкой"" показано значение 383р +-1

Такая же проблема при заказе напитка ""Slurm"" в объеме 5л.

Автомат считает скидку 5% от заказа, место 10% 

 

 

 ",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004l:",Автомат с напитками,,,,
Test runs (peresypkin),ASN-2,10206,История,Сделать,ASN,автомат с напитками,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,21/апр/21 5:48 AM,25/апр/21 6:28 AM,24/апр/21 4:22 AM,,,0,"Сделать тестовые прогоны в соответствии с тест планом 

http://89.223.126.182/testrail/index.php?/plans/view/19",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0004k:",Автомат с напитками,,,,
не работает поле с контекстными подсказками,HR-52,10315,Ошибка,Сделать,HR,hardload,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,23/апр/21 7:08 PM,23/апр/21 7:08 PM,24/апр/21 7:48 PM,,,0,"# Запустить приложение hardload.exe
 # Навести курсор мыши на кнопку ""пауза""
 # Ожидаемый результат: в поле с контекстными подсказками сообщение ""пауза""
 # Фактический результат: в поле с контекстными подсказками нет сообщений",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i000en:",,,,,
Разный размер кнопок интерфейса ,HR-51,10314,Ошибка,Сделать,HR,hardload,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,23/апр/21 7:05 PM,23/апр/21 7:05 PM,23/апр/21 7:13 PM,,,0,В верхней части окна приложения hardload 4 кнопки не преведены к одному размеру и стилю оформления,,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i000ef:",,,,,
"Не работает функция удаления нескольких файлов, с отмеченным чек-боксом, из поля ""Список файлов""",HR-29,10029,Ошибка,Сделать,HR,hardload,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,19/апр/21 11:41 AM,19/апр/21 11:46 AM,24/апр/21 4:19 AM,,,0,"Предусловия:
Открытое приложение Hardload
Файлы test.txt test.html test.doc test.mp4 test.mp3 test.pdf добавлены в поле ""список файлов""
Шаги:
1. Кликнуть правой кнопкой мыши в поле чек-бокса напротив каждого файла в поле ""Список файлов
2.левой кнопкой мыши кликнуть один раз на кнопку ""Удалить выделенные файлы из списка""
Несоответствие ожидаемому результату: Все файлы остались в поле  ""список файлов"" ,
чек-бокс остался в состоянии ""активен"", диалоговое окно не открылось.",,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0006f:",HardLoad Спринт,,,,
"Не работает функция удаления файла, с отмеченным чек-боксом, из поля ""Список файлов""",HR-28,10028,Ошибка,Сделать,HR,hardload,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,19/апр/21 11:29 AM,19/апр/21 11:45 AM,24/апр/21 4:19 AM,,,0,"Предусловия:
 Открытое приложение Hardload
 Файл test.txt добавлен в поле ""список файлов""
  
 Шаги:
 1.Выбрать файл test.txt, кликнув правой кнопкой мыши в поле чек-бокса напротив файла test.txt
 2.левой кнопкой мыши кликнуть один раз на кнопку ""Удалить выделенные файлы из списка""
 Несоответствие ожидаемому результату: Файл ""test.txt""остался в поле  ""список файлов"" ,
 чек-бокс остался в состоянии ""активен"", диалоговое окно не открылось.
  ","ОС Windows 7, Service Pack 1",peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i00067:",HardLoad Спринт,,,,
Провести Исследовательское тестирование приложения Hardload.exe(peresypkinmi),HR-3,10002,История,В работе,HR,hardload,software,admin,,,Medium,,peresypkinmi@gmail.com,peresypkinmi@gmail.com,peresypkinmi@gmail.com,17/апр/21 9:22 AM,19/апр/21 8:44 AM,19/апр/21 8:44 AM,,,0,,,peresypkinmi@gmail.com,,,,,,,,,,,,,,,,"0|i0000s:r",HardLoad Спринт,,,,
